Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Andhra Pradesh, 31-05-2019,M,3.65,11999139.0,43.24,South
Andhra Pradesh, 30-06-2019,M,3.05,11755881.0,42.05,South
Andhra Pradesh, 31-07-2019,M,3.75,12086707.0,43.5,South
Andhra Pradesh, 31-08-2019,M,3.32,12285693.0,43.97,South
Andhra Pradesh, 30-09-2019,M,5.17,12256762.0,44.68,South
Andhra Pradesh, 31-10-2019,M,3.52,12017412.0,43.01,South
Andhra Pradesh, 30-11-2019,M,4.12,11397681.0,41.0,South
Andhra Pradesh, 31-12-2019,M,4.38,12528395.0,45.14,South
Andhra Pradesh, 31-01-2020,M,4.84,12016676.0,43.46,South
Andhra Pradesh, 29-02-2020,M,5.91,11723617.0,42.83,South
Andhra Pradesh, 31-03-2020,M,4.06,11359660.0,40.66,South
Andhra Pradesh, 30-04-2020,M,16.29,8792827.0,36.03,South
Andhra Pradesh, 31-05-2020,M,14.46,9526902.0,38.16,South
Andhra Pradesh, 30-06-2020,M,0.85,15572975.0,53.76,South
Assam, 31-05-2019,M,4.29,11749334.0,57.39,South
Assam, 30-06-2019,M,5.08,8923222.0,43.87,South
Assam, 31-07-2019,M,4.26,9911534.0,48.21,South
Assam, 31-08-2019,M,5.79,9292039.0,45.83,South
Assam, 30-09-2019,M,4.46,11468349.0,55.67,South
Assam, 31-10-2019,M,4.65,8395906.0,40.76,South
Assam, 30-11-2019,M,4.66,9625362.0,46.64,South
Assam, 31-01-2020,M,4.29,11420996.0,54.9,South
Assam, 29-02-2020,M,3.26,8462814.0,40.17,South
Assam, 31-03-2020,M,3.77,9878742.0,47.05,South
Assam, 31-05-2020,M,9.38,9926176.0,50.0,South
Assam, 30-06-2020,M,0.0,7544937.0,34.38,South
Bihar, 31-05-2019,M,9.27,24322330.0,39.75,South
Bihar, 30-06-2019,M,10.2,24097712.0,39.71,South
Bihar, 31-07-2019,M,13.44,23248875.0,39.66,South
Bihar, 31-08-2019,M,11.0,22260203.0,36.85,South
Bihar, 30-09-2019,M,8.87,23905700.0,38.57,South
Bihar, 31-10-2019,M,12.47,24053140.0,40.31,South
Bihar, 30-11-2019,M,12.4,22445989.0,37.51,South
Bihar, 31-12-2019,M,10.16,22914530.0,37.25,South
Bihar, 31-01-2020,M,9.13,23409006.0,37.54,South
Bihar, 29-02-2020,M,9.61,23168192.0,37.28,South
Bihar, 31-03-2020,M,15.39,22667882.0,38.88,South
